,fscore,std
Dvorak_No.12_mov1,0.0,0.0
Dvorak_No.12_mov2,0.0,0.0
Dvorak_No.12_mov3,0.0,0.0
Dvorak_No.12_mov4,0.5055161733261578,0.13149734421306283
Dvorak_No.13_mov1,0.0,0.0
Dvorak_No.13_mov2,0.0,0.0
Dvorak_No.13_mov3,0.0,0.0
Dvorak_No.13_mov4,0.7770571428571428,0.1726787335893265
Janacek_No.1_mov1,0.0,0.0
Janacek_No.1_mov2,0.0,0.0
Janacek_No.1_mov3,0.0,0.0
Janacek_No.1_mov4,0.6119468337237014,0.10310795156499258
Janacek_No.2_mov1,0.0,0.0
Janacek_No.2_mov2,0.0,0.0
Janacek_No.2_mov3,0.0,0.0
Janacek_No.2_mov4,0.42925561029098186,0.13045069275838
Smetana_No.1_mov1,0.0,0.0
Smetana_No.1_mov2,0.0,0.0
Smetana_No.1_mov3,0.0,0.0
Smetana_No.1_mov4,0.0,0.0
